sample_plate_index,Well
A01,B01
A02,B02
A03,B03
A04,B04
A05,B05
A06,B06
A07,B07
A08,B08
A09,B09
A10,B10
A11,B11
A12,B12
A01,C01
A02,C02
A03,C03
A04,C04
A05,C05
A06,C06
A07,C07
A08,C08
A09,C09
A10,C10
A11,C11
A12,C12
B01,D01
B02,D02
B03,D03
B04,D04
B05,D05
B06,D06
B07,D07
B08,D08
B09,D09
B10,D10
B11,D11
B12,D12
B01,E01
B02,E02
B03,E03
B04,E04
B05,E05
B06,E06
B07,E07
B08,E08
B09,E09
B10,E10
B11,E11
B12,E12
C01,F01
C02,F02
C03,F03
C04,F04
C05,F05
C06,F06
C07,F07
C08,F08
C09,F09
C10,F10
C11,F11
C12,F12
C01,G01
C02,G02
C03,G03
C04,G04
C05,G05
C06,G06
C07,G07
C08,G08
C09,G09
C10,G10
C11,G11
C12,G12
D01,H01
D02,H02
D03,H03
D04,H04
D05,H05
D06,H06
D07,H07
D08,H08
D09,H09
D10,H10
D11,H11
D12,H12
